Dialogue ID,Chapter ID,Place ID,Character ID,Dialogue,Chapter Name,Movie ID,Movie Chapter,Movie Title,Release Year,Runtime,Budget,Box Office,Place Name,Place Category,Character Name,Species,Gender,House,Patronus,Wand (Wood),Wand (Core),spells_found,first_spell_found,Spell ID,Incantation,Spell Name,Effect,Light,spell,other_sentiment,joy,sadness,anger,surprise,disgust,fear,K-Means_Cluster
1,1,8,4,I should have known that you would be here...Professor McGonagall.,Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,[],,,,,,,,0.9522545337677002,0.0247739888727664,0.0045397556386888,0.0017656630370765,0.0096131833270192,0.0017858628416433,0.0052669695578515,3
2,1,8,7,"Good evening, Professor Dumbledore. Are the rumours true, Albus?",Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Minerva McGonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,[],,,,,,,,0.94611656665802,0.0162053760141134,0.0008100280538201,0.0016853124834597,0.0297364238649606,0.0026828651316463,0.0027633730787783,3
3,1,8,4,"I'm afraid so, Professor. The good, and the bad.",Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,[],,,,,,,,0.0016106042312458,0.0016205279389396,0.0021284888498485,0.0022766867186874,0.0021922460291534,0.0015949354274198,0.988576591014862,2
4,1,8,7,And the boy?,Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Minerva McGonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,[],,,,,,,,0.9502047300338744,0.0076563782058656,0.0032068048603832,0.0059237158857285,0.0065922597423195,0.0212217792868614,0.0051944265142083,3
5,1,8,4,Hagrid is bringing him.,Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,[],,,,,,,,0.9685320258140564,0.0201550479978323,0.001421678927727,0.0023959453683346,0.0028641724493354,0.0025873063132166,0.0020438206847757,3
6,1,8,7,Do you think it wise to trust Hagrid with something as important as this?,Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Minerva McGonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,[],,,,,,,,0.97856205701828,0.0094440625980496,0.0014093435602262,0.0012289559235796,0.0035919654183089,0.0028966388199478,0.0028669508174061,3
7,1,8,4,"Ah, Professor, I would trust Hagrid with my life.",Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,[],,,,,,,,0.7556558847427368,0.2313258051872253,0.0042243213392794,0.001861757133156,0.0021754377521574,0.0020183632150292,0.0027382858097553,3
8,1,8,5,"Professor Dumbledore, Sir. Professor McGonagall.",Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,[],,,,,,,,0.9741562008857728,0.0073764841072261,0.0013598492369055,0.003891984000802,0.0034480358008295,0.0079784225672483,0.0017890845192596,3
9,1,8,4,"No problems, I trust, Hagrid?",Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,[],,,,,,,,0.9683722853660583,0.0176854487508535,0.0024163818452507,0.0026599839329719,0.0022920221090316,0.0041154543869197,0.0024584555067121,3
10,1,8,5,"No, sir. Little tyke fell asleep just as we were flying over Bristol. Heh. Try not to wake him. There you go.",Doorstep Delivery,1,1,Harry Potter and the Philosopher's Stone,2001,152,"$125,000,000 ","$1,002,000,000 ",4 Privet Drive,Dwellings,Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,[],,,,,,,,0.897585391998291,0.0447617620229721,0.0011122990399599,0.0016821646131575,0.0200272928923368,0.0019764134194701,0.0328547731041908,3
